,date,so2,no2,RSPM,AQI
101,2009-11-05,9.0,29.0,80.0,80.0
102,2009-11-06,9.5,30.5,-18.0,95.5
103,2009-11-07,10.0,32.0,-116.0,111.0
104,2009-11-08,9.666666666666666,31.666666666666668,-57.0,94.33333333333333
105,2009-11-09,9.333333333333334,31.333333333333332,2.0,77.66666666666666
106,2009-11-10,9.0,31.0,61.0,61.0
107,2009-11-11,10.0,31.0,58.5,58.5
108,2009-11-12,11.0,31.0,56.0,56.0
109,2009-11-13,11.0,37.0,73.0,73.0
110,2009-11-14,11.0,34.0,77.0,77.0
111,2009-11-15,10.0,31.5,77.5,77.5
112,2009-11-16,9.0,29.0,78.0,78.0
113,2009-11-17,9.0,31.0,39.0,39.0
114,2009-11-18,8.0,28.0,94.0,94.0
115,2009-11-19,10.0,31.0,86.0,86.0
116,2009-11-20,10.5,36.0,-16.5,99.5
117,2009-11-21,11.0,41.0,-119.0,113.0
118,2009-11-22,10.0,37.5,-113.5,109.0
119,2009-11-23,9.0,34.0,-108.0,105.0
120,2009-11-24,11.0,39.0,-103.0,102.0
121,2009-11-25,10.0,34.0,-104.0,103.0
122,2009-11-26,13.0,49.0,-108.0,105.0
123,2009-11-27,12.0,56.0,-155.0,137.0
124,2009-11-28,13.0,55.0,-208.0,172.0
125,2009-11-29,11.5,44.5,-58.0,132.0
126,2009-11-30,10.0,34.0,92.0,92.0
127,2009-12-01,10.0,31.5,90.0,90.0
128,2009-12-02,10.0,29.0,88.0,88.0
129,2009-12-03,9.0,29.0,78.0,78.0
130,2009-12-04,9.5,31.0,28.75,86.75
131,2009-12-05,10.0,33.0,-20.5,95.5
132,2009-12-06,10.5,35.0,-69.75,104.25
133,2009-12-07,11.0,37.0,-119.0,113.0
134,2009-12-08,11.0,37.0,82.0,82.0
135,2009-12-09,12.0,48.0,94.0,94.0
136,2009-12-10,9.0,27.0,97.0,97.0
137,2009-12-11,10.0,33.0,74.0,74.0
138,2009-12-12,9.0,30.0,54.0,54.0
139,2009-12-13,9.0,30.0,69.5,69.5
140,2009-12-14,9.0,30.0,85.0,85.0
141,2009-12-15,10.0,34.0,58.0,58.0
142,2009-12-16,11.0,42.5,-27.5,83.5
143,2009-12-17,12.0,51.0,-113.0,109.0
144,2009-12-18,13.0,48.0,-160.0,140.0
145,2009-12-19,11.0,42.0,77.0,77.0
146,2009-12-20,10.5,36.5,70.0,70.0
147,2009-12-21,10.0,31.0,63.0,63.0
148,2009-12-22,11.0,17.0,74.0,74.0
149,2009-12-23,16.0,69.0,97.0,97.0
150,2009-12-24,10.0,31.0,-130.0,120.0
151,2009-12-25,11.0,41.0,-128.0,119.0
152,2009-12-26,11.0,39.0,-140.66666666666666,127.33333333333333
153,2009-12-27,11.0,37.0,-153.33333333333334,135.66666666666666
154,2009-12-28,11.0,35.0,-166.0,144.0
155,2009-12-29,16.0,64.0,-119.0,113.0
156,2009-12-30,11.0,37.0,-111.0,107.0
157,2009-12-31,10.0,29.0,-117.0,111.0
158,2010-01-01,14.0,53.0,-134.0,123.0
159,2010-01-02,15.0,59.0,-123.0,115.0
160,2010-01-03,13.0,54.5,-122.0,114.5
161,2010-01-04,11.0,50.0,-121.0,114.0
162,2010-01-05,10.0,34.0,-108.0,105.0
163,2010-01-06,11.0,60.0,-128.0,119.0
164,2010-01-07,9.0,26.0,-113.0,109.0
165,2010-01-08,9.0,26.0,78.0,78.0
166,2010-01-09,9.0,28.0,84.0,84.0
167,2010-01-10,8.0,24.666666666666668,86.33333333333333,86.33333333333333
168,2010-01-11,7.0,21.333333333333332,88.66666666666667,88.66666666666667
169,2010-01-12,6.0,18.0,91.0,91.0
170,2010-01-13,9.0,30.0,-113.0,109.0
171,2010-01-14,10.0,35.0,72.0,72.0
172,2010-01-15,12.0,36.0,77.0,77.0
173,2010-01-16,10.0,31.0,65.0,65.0
174,2010-01-17,12.0,42.5,73.5,73.5
175,2010-01-18,14.0,54.0,82.0,82.0
176,2010-01-19,12.0,47.0,-130.0,120.0
177,2010-01-20,20.0,38.0,-102.0,101.0
178,2010-01-21,11.0,50.0,93.0,93.0
179,2010-01-22,11.0,47.0,-131.0,121.0
180,2010-01-23,20.0,50.0,92.0,92.0
181,2010-01-24,15.5,42.5,-8.5,99.0
182,2010-01-25,11.0,35.0,-109.0,106.0
183,2010-01-26,12.5,51.5,-121.5,114.5
184,2010-01-27,14.0,68.0,-134.0,123.0
185,2010-01-28,12.0,53.0,-106.0,104.0
186,2010-01-29,10.0,32.0,86.0,86.0
187,2010-01-30,9.0,28.0,85.0,85.0
188,2010-01-31,11.0,45.0,91.5,91.5
189,2010-02-01,13.0,62.0,98.0,98.0
190,2010-02-02,11.0,40.0,-103.0,102.0
191,2010-02-03,9.0,29.0,90.0,90.0
192,2010-02-04,10.0,31.0,64.0,64.0
193,2010-02-05,12.0,52.0,76.0,76.0
194,2010-02-06,9.0,31.0,99.0,99.0
195,2010-02-07,11.5,38.5,-17.5,111.0
196,2010-02-08,14.0,46.0,-134.0,123.0
197,2010-02-09,10.0,34.0,77.0,77.0
198,2010-02-10,12.0,47.0,66.0,66.0
199,2010-02-11,11.0,36.0,95.0,95.0
200,2010-02-12,11.0,33.0,-109.0,106.0
201,2010-02-13,10.0,35.0,99.0,99.0
202,2010-02-14,9.0,31.5,74.0,74.0
203,2010-02-15,8.0,28.0,49.0,49.0
204,2010-02-16,6.0,19.0,44.0,44.0
205,2010-02-17,11.0,36.0,97.0,97.0
206,2010-02-18,12.0,48.0,81.0,81.0
207,2010-02-19,10.0,32.0,96.0,96.0
208,2010-02-20,9.0,29.0,85.0,85.0
209,2010-02-21,11.0,45.0,-16.0,98.0
210,2010-02-22,13.0,61.0,-117.0,111.0
211,2010-02-23,12.0,44.0,-106.0,104.0
212,2010-02-24,10.0,32.0,75.0,75.0
213,2010-02-25,12.0,51.0,-124.0,116.0
214,2010-02-26,15.0,50.0,-137.0,125.0
215,2010-02-27,11.0,44.0,93.0,93.0
216,2010-02-28,11.0,43.333333333333336,25.66666666666667,97.33333333333333
217,2010-03-01,11.0,42.666666666666664,-41.66666666666666,101.66666666666667
218,2010-03-02,11.0,42.0,-109.0,106.0
219,2010-03-03,10.0,30.0,-107.0,105.0
220,2010-03-04,11.0,33.0,91.0,91.0
221,2010-03-05,14.0,46.0,75.0,75.0
222,2010-03-06,13.0,39.0,76.0,76.0
223,2010-03-07,11.5,36.0,71.0,71.0
224,2010-03-08,10.0,33.0,66.0,66.0
225,2010-03-09,15.0,47.0,-135.0,123.0
226,2010-03-10,7.0,24.0,74.0,74.0
227,2010-03-11,8.0,28.0,54.0,54.0
228,2010-03-12,7.0,28.0,42.0,42.0
229,2010-03-13,13.0,54.0,-115.0,110.0
230,2010-03-14,12.0,43.5,-108.0,105.5
231,2010-03-15,11.0,33.0,-101.0,101.0
232,2010-03-16,13.0,46.0,95.0,95.0
233,2010-03-17,9.0,39.0,91.0,91.0
234,2010-03-18,11.0,44.5,-18.0,104.5
235,2010-03-19,13.0,50.0,-127.0,118.0
236,2010-03-20,12.0,45.0,-214.0,176.0
237,2010-03-21,12.5,42.0,-183.0,155.5
238,2010-03-22,13.0,39.0,-152.0,135.0
239,2010-03-23,14.0,58.0,-148.0,132.0
240,2010-03-24,10.0,34.0,-111.0,107.0
241,2010-03-25,14.0,64.0,-159.0,139.0
242,2010-03-26,14.0,51.0,-156.0,137.0
243,2010-03-27,8.0,34.0,52.0,52.0
244,2010-03-28,8.5,30.5,-28.0,78.5
245,2010-03-29,9.0,27.0,-108.0,105.0
246,2010-03-30,9.0,29.0,80.0,80.0
247,2010-03-31,9.0,27.0,88.0,88.0
248,2010-04-01,9.0,30.0,85.0,85.0
249,2010-04-02,13.0,42.0,-118.0,112.0
250,2010-04-03,6.0,20.0,58.0,58.0
251,2010-04-04,9.0,33.0,68.0,68.0
252,2010-04-05,12.0,46.0,78.0,78.0
253,2010-04-06,9.0,29.0,-105.0,103.0
254,2010-04-07,10.0,31.0,-139.0,126.0
255,2010-04-08,10.0,34.0,-109.0,106.0
256,2010-04-09,9.0,29.0,-126.0,117.0
257,2010-04-10,14.0,45.0,-132.0,121.0
258,2010-04-11,12.666666666666666,41.0,-58.33333333333333,110.33333333333333
259,2010-04-12,11.333333333333334,37.0,15.333333333333343,99.66666666666667
260,2010-04-13,10.0,33.0,89.0,89.0
261,2010-04-14,7.0,25.0,58.0,58.0
262,2010-04-15,13.0,46.0,-135.0,123.0
263,2010-04-16,9.0,33.0,-148.0,132.0
264,2010-04-17,9.0,34.0,70.0,70.0
265,2010-04-18,9.5,32.5,81.0,81.0
266,2010-04-19,10.0,31.0,92.0,92.0
267,2010-04-20,9.0,31.0,83.0,83.0
268,2010-04-21,9.0,28.0,92.0,92.0
269,2010-04-22,9.0,28.0,67.0,67.0
270,2010-04-23,10.0,32.0,-111.0,107.0
271,2010-04-24,10.0,32.0,71.0,71.0
272,2010-04-25,10.5,34.5,-15.0,86.0
273,2010-04-26,11.0,37.0,-101.0,101.0
274,2010-04-27,10.0,30.0,-107.0,105.0
275,2010-04-28,10.0,30.0,88.0,88.0
276,2010-04-29,9.666666666666666,29.666666666666668,19.66666666666667,95.66666666666667
277,2010-04-30,9.333333333333334,29.333333333333332,-48.66666666666666,103.33333333333333
278,2010-05-01,9.0,29.0,-117.0,111.0
279,2010-05-02,11.0,36.5,-12.0,102.0
280,2010-05-03,13.0,44.0,93.0,93.0
281,2010-05-04,10.0,32.0,-132.0,121.0
282,2010-05-05,9.5,31.0,-125.0,116.5
283,2010-05-06,9.0,30.0,-118.0,112.0
284,2010-05-07,10.0,30.0,90.0,90.0
285,2010-05-08,13.0,53.0,96.0,96.0
286,2010-05-09,11.5,42.0,97.5,97.5
287,2010-05-10,10.0,31.0,99.0,99.0
288,2010-05-11,8.0,24.0,64.0,64.0
289,2010-05-12,-39.5,26.0,76.5,83.0
290,2010-05-13,-87.0,28.0,89.0,102.0
291,2010-05-14,9.0,28.0,-114.0,109.0
292,2010-05-15,11.0,35.0,90.0,90.0
293,2010-05-16,10.0,32.5,83.0,83.0
294,2010-05-17,9.0,30.0,76.0,76.0
295,2010-05-18,7.0,23.0,13.0,29.0
296,2010-05-19,9.0,25.0,70.0,70.0
297,2010-05-20,9.0,25.0,70.0,70.0
298,2010-05-21,9.0,30.0,96.0,96.0
299,2010-05-22,10.0,27.0,88.0,88.0
300,2010-05-23,10.0,28.5,90.0,90.0
301,2010-05-24,10.0,30.0,92.0,92.0
302,2010-05-25,9.0,29.0,-105.0,103.0
303,2010-05-26,8.0,24.0,79.0,79.0
304,2010-05-27,9.0,32.0,66.0,66.0
305,2010-05-28,8.75,29.25,69.0,69.0
306,2010-05-29,8.5,26.5,72.0,72.0
307,2010-05-30,8.25,23.75,75.0,75.0
308,2010-05-31,8.0,21.0,78.0,78.0
309,2010-06-01,12.0,25.0,55.0,55.0
310,2010-06-02,10.0,23.0,60.0,60.0
311,2010-06-03,16.0,32.0,76.0,76.0
312,2010-06-04,15.0,29.0,75.25,75.25
313,2010-06-05,14.0,26.0,74.5,74.5
314,2010-06-06,13.0,23.0,73.75,73.75
